Name,Artist,Album,Spotify ID,Added On
Memories,Conan Gray,Memories,7AYP21Q4qnxw2WxETEvSRb,2022-04-15T05:04:03Z
Starting Line,Luke Hemmings,When Facing the Things We Turn Away From,1CODAIfeSTMzIgBK0S3H5S,2022-04-13T21:11:37Z
Culpa,Crossed,MORIR,74IfsjYVaYmPcLbcJJLneG,2022-04-11T09:33:59Z
Quitapenas,Crossed,MORIR,6WWMT3Fcn8UF3qXA2iMKj0,2022-04-11T09:30:15Z
Diente de León,VIBORA,Botánica,0BgTkcN5euPY4V9r7xYn3O,2022-04-11T09:10:31Z
Flores Rotas,Crossed,Flores Rotas,7jiC2iv1qFAwhjceqA3yOA,2022-04-11T08:57:19Z
Am-ar,Tenue,Anábasis,7s90UnkMJrnn6WVJamZsXZ,2022-04-11T08:54:50Z
Silencio,Tenue,Anábasis,0r18Kx5pwM1yG6oVSSOLc3,2022-04-11T08:54:49Z
Carne,Tenue,Anábasis,3QePuo8GH63b1XU1zomS1v,2022-04-11T08:54:48Z
Cisma,Tenue,Anábasis,0fas0zeLRlpgnh92rCkWef,2022-04-11T08:54:46Z
Vertixe,Tenue,Anábasis,4FwIjBy0SNmHCXy8x4MvNU,2022-04-11T08:30:31Z
Mythos,Tenue,Anábasis,5zuG23zSUIIdG7Oj9h6Jzu,2022-04-11T08:19:10Z
Narrenturm,Tenue,Anábasis,6WoRs8VGzzbc0JVc2lK1i5,2022-04-11T08:12:35Z
Somewhat Damaged,Nine Inch Nails,The Fragile,0yUyPe5c1o5cCyV7aJkz6F,2022-04-09T06:55:44Z
Please Die Slow,Dylan Jordan,Please Die Slow,5GvwNY1rFL06cwTZGw3G0R,2022-04-06T21:06:19Z
i hope ur miserable until ur dead,Nessa Barrett,i hope ur miserable until ur dead,4ka1FkKAMde6dQAFFMXKac,2022-04-06T19:59:06Z
"If You Ever Leave, I'm Coming with You",The Wombats,"If You Ever Leave, I'm Coming With You",1BiRaCcUqWpLLb4LZpvRMF,2022-04-06T11:31:58Z
Glance of Clarity,Our Next Movement,Polyhedral Trails,1wponzF3cjukVnYhww3790,2022-04-06T10:14:26Z
Abracadabra,Adrift,Abracadabra,308NoSyN5qSBYPTSTcqf82,2022-04-06T09:43:02Z
Style,Taylor Swift,1989 (Deluxe),0ug5NqcwcFR2xrfTkc7k8e,2022-04-05T21:20:50Z
Out Of The Woods,Taylor Swift,1989 (Deluxe),0qUnBLZ8bJqUNEeQgayL9t,2022-04-05T21:17:50Z
Paper Rings,Taylor Swift,Lover,4y5bvROuBDPr5fuwXbIBZR,2022-04-05T19:20:21Z
Heart Upon My Sleeve,Avicii,True (Bonus Edition),6tO9Cugohbp1Jj4vIh7Fiy,2022-04-05T13:45:03Z
What Makes You Beautiful,One Direction,Up All Night,4cluDES4hQEUhmXj6TXkSo,2022-04-04T21:58:07Z
